不要再跟我說話,3,,
我對自己的成就感自豪,2,,
這是我一生最差勁的一天,3,,
我很想你,0,, [0]
媽媽我愛你,0,,
不要講廢話,3,,
恭喜你找到新工,2,,
這功課太多了,3,,
我想去玩,1,, [3]
她沒有回覆我的短訊,3,,
你的愚蠢沒有極限,3,,
他拿到多少分,1,,
我的算法表現很差,3,,
我獲得取錄,2,,
不要再大聲喝我,3,,
看來是一個有趣的計劃哈哈,2,,
沒有人像他這樣,3,,
遊戲剛剛結束,1,, [2]
我將會慶祝,2,,
真遺憾你沒有來,3,,
她是我的至愛,0,, [1]
做得好,2,, [4]
真是有趣 lol,2,,
我很餓,4,,
很久沒見真高興見到你,2,,
你的考試成績不錯,2,,
他很英俊,0,,
你竟敢問我這些,3,,
你想不想一起晚餐,4,,
我說好,2,,
她很吸引,0,,
你很討厭,3,,
她常常笑,2,,
他在笑,2,,
她出門前要準備一世紀,3,,
法國蛋白杏仁餅乾太好吃了,4,,
我們成功了,2,,
我很興奮,2,,
我很喜愛我的小狗,0,,
恭喜,2,,
這女孩很卑鄙,3,,
你兩位都很可愛,0,,
我的程式明明可以執行但導師仍給我零分,3,,
這笑話真要命哈哈哈,2,,
你喜歡薄餅嗎,4,,
我想我會孤獨終老,3,,
我被妺妺羞辱,3,,
我煮了肉,4,,
這實在是太有趣了,2,,
不如做運動吧,1,,
他是最佳的選手,1,,
我正在去運動館,1,, [0]
你真是非常聰明及有天份,2,,
我的狗剛生了幾隻小狗,0,,
我憎恨他,3,,
我想吃中菜,4,,
曲奇很好味,4,,
她的笑容的有魅力,2,,
她玩棒球,1,,
他做了一件好事,2,,
這嬰孩真可愛,0,,
我已等了她兩個小時,3,,
得意,2,,
我喜歡人家笑,2,,
我愛小狗,0,,v2
他們對人真好,0,, [0]
很遺憾你不能同行,3,,
我對你在這個項目的付出十分欣賞,2,,
我正在看球賽,1,, [0]
好極了,2,,
真是開心時刻,2,,
晚餐我想吃壽司,4,,
我好失望,3,,
他什麼做不能做,3,,
lol,2,,
我們一起吃飯吧,4,,
她真可愛,0,,
親愛的我很想念你,0,, [6]
我在尋覓對象,0,,
我感到很沮喪,3,,
我失去了錢包,3,,
你的中期試肥佬了,3,,
哈哈哈笑死我了,2,,
你可不可以抱抱我,0,,
是那一隊入了決賽,1,,
她很開懷,2,,
這職位你並不合適,3,,
我愛我的爸爸,0,,
這人真是個笑話,2,,
真搞笑,2,,
這門專業很偉大,2,,
你無法子解決它,3,,
我真替你高興,2,,
恭喜你找到新工,2,,
我永遠都為你感到驕傲,2,,
我想吃東西,4,,
這個捕手真爛,1,,
真差勁,3,,
你沒有做功課,3,,
我會吃一件芝士蛋糕,4,,
你有沒有球,1,,
這個球賽的規則是什麼,1,,
我永遠在工作,3,,
運動場在那裡,1,,
她是我見過最可愛的女孩,0,, [4]
蔬菜很健康,4,,
他很英俊,0,,
你如果在這裡便好了,3,,
你真失敗,3,,
我愛印度菜,4,,
誰人來餐廰,4,,
我在訂餐,4,,
你究竟有什麼毛病,3,,
做得好,2,,
林鄭可恥,7,,
陳奕迅這首新歌很動聽,0,,
真想吃薯條,4,,
珍珠奶茶真好喝,4,,
豆腐火腩飯是男人至愛,0,,
講大話比較可恥,3,,
賤人有樣睇,3,,
六四沒有死人,3,,
誰人令香港倒退,3,,
又是別人的錯自己沒有錯,3,,
知法犯法正狗官,3,,
自我感覺良好,2,,
一路好走,5,,
願你安息,5,,
金庸去世,5,,
藍潔瑛病逝,5,,
哲人其萎,5,,
天妒英才,5,,
食屎啦,6,,
港鐵服務質素令人憤怒,7,,
我要上廁所大解,6,,
國學大師饒宗頤離世享年百歲,5,,
他遇到車禍喪生,5,,
跑步有益身心,1,,
他示威被警察打死了,5,,
政府強推廿三條,7,,
他欠我的債一直未還,7,,
你鐵定要跟我過不去,7,,
事到如今你還有什麼辯解,7,,
你給我滾出去,7,,
我再也不要見到你,7,,
你真是欺人太甚,7,,
再見就是再不相見,3,,
你是我一生的傳奇,0,,
颱風後化糞池發生滲漏,6,,
在街便溺是不文明行為,6,,
港鐵快捷舒適,2,,
